NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_2.H25.2|Check that the title element describes the document.|title||
ERROR|WCAG2AAA.Principle3.Guideline3_1.3_1_1.H57.2|The html element should have a lang or xml:lang attribute which describes the language of the document.|html||
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent|Anchor element found with a valid href attribute, but no link content has been supplied.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H48|If this element contains a navigation section, it is recommended that it be marked up as a list.|div|mobile-dropdown-icon-container|
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent|Anchor element found with a valid href attribute, but no link content has been supplied.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "Layer_1" found on the web page.|svg|[object SVGAnimatedString]|Layer_1
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent|Anchor element found with a valid href attribute, but no link content has been supplied.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "Layer_1" found on the web page.|svg|[object SVGAnimatedString]|Layer_1
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "blue" found on the web page.|g|[object SVGAnimatedString]|blue
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "icons" found on the web page.|g|[object SVGAnimatedString]|icons
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.A.NoContent|Anchor element found with a valid href attribute, but no link content has been supplied.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "Layer_1" found on the web page.|svg|[object SVGAnimatedString]|Layer_1
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "blue" found on the web page.|g|[object SVGAnimatedString]|blue
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_1.F77|Duplicate id attribute value "icons" found on the web page.|g|[object SVGAnimatedString]|icons
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_1.G83,G84,G85|If an input error is automatically detected in this form, check that the item(s) in error are identified and the error(s) are described to the user in text.|form|navbar-form navbar-left visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_2.G131,G89,G184,H90|Check that descriptive labels or instructions (including for required fields) are provided for user input in this form.|form|navbar-form navbar-left visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_3.G177|Check that this form provides suggested corrections to errors in user input, unless it would jeopardize the security or purpose of the content.|form|navbar-form navbar-left visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_5.G71,G184,G193|Check that context-sensitive help is available for this form, at a Web-page and/or control level.|form|navbar-form navbar-left visible-xs|
NOTICE|WCAG2AAA.Principle3.Guideline3_3.3_3_6.G98,G99,G155,G164,G168.AllForms|Check that submissions to this form are either reversible, checked for input errors, and/or confirmed by the user.|form|navbar-form navbar-left visible-xs|
ERROR|WCAG2AAA.Principle4.Guideline4_1.4_1_2.H91.InputText.Name|This text input element does not have a name available to an accessibility API. Valid names are: label element, title attribute.|input|form-control|
ERROR|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H44.NoId|Form control does not have an ID, therefore it cannot have an explicit label.|input|form-control|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|input|form-control|
NOTICE|WCAG2AAA.Principle3.Guideline3_2.3_2_1.G107|Check that a change of context does not occur when this input field receives focus.|button|btn btn-success|
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID|This link points to a named anchor "administrative" within the document, but no anchor exists with that name.|a|dropdown-toggle|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
ERROR|WCAG2AAA.Principle2.Guideline2_4.2_4_1.G1,G123,G124.NoSuchID|This link points to a named anchor "academic" within the document, but no anchor exists with that name.|a|dropdown-toggle|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a|dropdown-toggle|
WARNING|WCAG2AAA.Principle1.Guideline1_3.1_3_1.H49.B|Semantic markup should be used to mark emphasised or special text so that it can be programmatically determined.|b|caret|
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
NOTICE|WCAG2AAA.Principle2.Guideline2_4.2_4_9.H30|Check that text of the link describes the purpose of the link.|a||
